sound.files,selec,log(duration),log(meanfreq),log(sd),log(freq.median),log(freq.Q25),log(freq.Q75),sqrt(time.median),cubroot(time.Q25),log(time.Q75),log(skew),(sp.ent)^2,(time.ent)^2,sqrt(sfm),log(meandom),log10(mindom),log(maxdom),log(modindx),log(startdom),log(enddom),dfslope2,log(meanpeakf)
XF_09032019_gbtb5.wav,10,-0.495183813,-2.691673595,-0.214589266,-2.345582192,-1.738872893,-2.893037919,-0.781028227,-0.057023085,-0.462687565,0.963973507,-1.996571593,0.001332431,-1.54953393,-1.865257702,-1.052501028,-2.221608352,0.436328217,-1.819574379,-1.188130683,0.419068886,-1.562543927
ZY 15 June Bten7.wav,3,-0.187284515,-2.67291161,-1.533651307,-2.027756587,-1.461127704,-2.705206396,0.238521656,0.455010038,-0.054304853,1.966089664,-2.715062236,0.298390043,-1.958279401,-1.696013428,-1.052501028,-2.057806461,-0.215889137,-1.516987657,-1.566711108,-0.076538103,-1.463559345
SP 24 Jan 18 B3.wav,3,1.412571268,-2.667299116,0.593237631,-2.90040848,-2.381204616,-3.187664325,1.02915169,0.952136991,1.235650906,0.013044522,-0.637039459,0.919822439,-0.587738375,-2.403485909,-1.850438815,-2.448971275,1.567006476,-1.615423801,-2.097496755,-0.081998429,-1.820258575
CN 31 Oct B9.wav,3,0.064427173,-2.666169248,-0.519696277,-2.246652706,-1.766457417,-2.815965419,0.193560185,0.433553123,0.268857485,0.717989512,-1.418657631,0.66567453,-1.432982405,-1.899393155,-1.510996709,-2.11179586,-0.683034677,-1.468629752,-2.041089957,-0.336637619,-1.562543927
CN 26 Apr B1.wav,5,-0.760988606,-2.642749249,-0.174708548,-2.315813895,-1.981204653,-2.606096446,-0.666833064,0.00332823,-0.875505631,-0.155853836,-1.27629533,-0.459622219,-2.058547415,-1.712141177,-0.774836199,-2.004410363,1.025522885,-1.373568861,-1.233515191,0.03043613,-1.612887965
ZY 14 June Bten23.wav,51,-0.828522366,-2.641153732,-0.588958828,-2.334691145,-1.973792173,-2.715931648,-0.304912912,0.189195025,-0.354896052,0.211897717,-0.873282667,-1.216919053,-1.157228933,-1.914095046,-1.199296355,-2.11179586,0.796565621,-1.326841033,-1.718591707,-0.465325866,-1.463559345
EL_29_03_19_Kallang16.wav,4,-1.086283171,-2.626353477,-1.169928541,-2.060333421,-1.31516488,-2.750389703,-1.334249116,0.090279516,-1.460528414,1.616453524,-3.744804888,-1.245265972,-2.175503291,-1.683952025,-0.774836199,-2.11179586,-0.526274804,-1.516987657,-1.143261919,0.27031827,-1.512772007
hzb_31jan_15.wav,8,1.410533164,-2.571285903,-0.176062285,-2.321522911,-2.039800927,-2.510055429,1.329045807,0.951071877,1.41248642,-0.76882053,0.00781835,1.017043585,-0.634461714,-1.891627453,-1.404242672,-1.847654965,1.608890875,-2.202886704,-0.884257037,0.429973991,-1.562543927
hzb_110219_nearkallangairport_adulteating.wav,2,0.135079094,-2.566836054,-1.14929346,-2.147946589,-1.515831493,-2.726295509,0.258257589,0.46440029,-0.031738865,0.449087047,-1.608027075,0.757621572,-1.696339144,-1.776160252,-1.149734516,-2.057806461,-0.983289693,-1.280632414,-1.66731295,-0.238485877,-1.463559345
ZY 16 June Bten35.wav,3,-0.615775619,-2.565479067,-0.225046169,-2.549258471,-2.025084587,-2.853603422,-0.565178257,0.056335048,-0.722504312,0.038183153,-0.870077612,-0.567603736,-1.3470996,-2.124645239,-1.67694494,-2.166391894,0.062919864,-1.373568861,-1.46860895,-0.164199605,-1.663817425
hzb_200419_gbtbeast_SwimAcross.wav,10,-1.196321948,-2.560300494,0.443694509,-2.779771832,-2.16347433,-3.054993665,-0.949880273,-2.108215571,-0.742422213,0.181971852,-1.032465184,-2.017749342,-0.426424716,-2.249109232,-1.199296355,-2.566770885,-0.983289693,-1.716246506,-1.718591707,-0.153415915,-2.150973532
ZY 8 June PR7.wav,7,-1.19632046,-2.553188913,-0.296778537,-2.28800652,-1.872432713,-2.652567228,-0.949880273,-2.108215571,-0.742422213,-0.13781638,-0.856594554,-2.024613144,-0.790106374,-1.749978324,-0.774836199,-2.166391894,-0.983289693,-1.373568861,-1.279427438,-0.045259445,-1.715346082
YN_20Jun2019_GardensByTheBay_16.wav,7,-0.430225326,-2.532696326,0.476926035,-2.685020812,-2.063915424,-3.245816644,0.343890319,0.504947291,-0.394245021,0.467709141,-1.274672403,-0.250616842,-0.481306569,-2.186485829,-1.457246412,-2.507514103,-0.983289693,-1.665529623,-1.985477647,-0.284810788,-1.873672517
CN 31 Oct B9.wav,2,-0.151547514,-2.529041607,-0.496724462,-2.231834723,-1.593959503,-2.860149245,0.271515541,0.470698731,-0.016648996,1.196226923,-1.835869181,0.369254532,-1.682294644,-1.843091626,-1.100808103,-2.221608352,-0.76750338,-1.468629752,-1.616691632,-0.136362395,-1.612887965
AK 26 june 2017 B11 5.wav,11,-0.557341453,-2.527807855,-0.543612489,-2.258736276,-1.702685689,-2.803143584,-0.523193033,-2.108215571,-0.660935737,0.668623043,-1.292472591,-0.624941286,-1.250366117,-1.943630554,-1.199296355,-2.166391894,-0.15286645,-1.979545367,-1.420457027,0.350875046,-1.820258575
hzb_31jan_12.wav,2,-0.740623323,-2.504094614,-1.229391293,-2.050448941,-1.302518148,-2.707091015,-0.652803236,0.010683255,-0.262281702,1.250114606,-2.279868017,-0.499556439,-1.591939158,-1.589292854,-0.686596245,-2.057806461,0.436328217,-1.280632414,-1.05502565,0.116974951,-1.463559345
hzb_110219_nearkallangairport_pupeating.wav,8,-0.931368681,-2.495634075,0.104873799,-2.733076327,-2.393477254,-1.984349388,-1.252679177,-2.108215571,-1.297305434,-0.619840845,-0.178417724,-1.233628589,-0.6252285,-2.360644647,-1.791726765,-1.646216961,-0.862779893,-0.928359883,-2.212786953,-1.34669841,-2.699176065
YN_16Jun19_OppKallangRiversidePark_02.wav,73,0.288449491,-2.482974785,-0.217278527,-2.229799232,-2.046488927,-2.00553759,0.160438599,0.417688429,0.230219626,-1.123219372,-0.143227971,0.950611729,-0.731055654,-1.425356095,-1.733904326,-0.914849274,0.32677934,-0.488083142,-0.126261316,0.243361471,-0.384638973
